Kod producenta;ean;id JMK;Producent;Bieżnik;Sezon;Rodzaj;nazwa;szerokosc;profil;srednica;Indeks prędkości 1;Indeks Prędkości 2;Indeks Nośność 1;Indeks Nośność 2;Zamiennik;System;Magazyn 1 ilosc;Magazyn 2 ilosc;Cena detal netto;Cena klient netto;Opór toczenia;Przyczepność;Hałas Klasa;Hałas dB;Dot;Konstrukcja;Masa brutto;EPRELURL;Informacje_dodatkowe
003-01-01-06-08-0001;0440000011215;28146;Stomil Poznań;S29;;przemysłowe;OPONA 23.5-25 S29 20PR TL Stomil Poznań;23.5;;25;;;20PR;;;;1;1;12933,00;10605,06;;;;;;-;0;;
024095;3528700240955;36412;Kleber;GRIPKER;;rolnicze;OPONA 540/65R30 GRIPKER 143D TL Kleber;540;65;30;D;;143;;;;4;4;8200,00;4346,00;;;;;;R;0;;
04121950000;4019238100006;81112;Continental;LSR1;;ciężarowe;OPONA 10R17.5 LSR1 134/132L FRONT Continental (D,C,A,70dB);10;;17.5;L;;134/132;;;FRONT;2;2;2254,00;1397,48;D;C;A;70dB;;R;31 kg;https://eprel.ec.europa.eu/qr/1421707;
04220740000;4019238012613;62308;Continental;LDR1;;ciężarowe;OPONA 10R17.5 LDR1 134/132L 3PMSF DRIVE Continental (D,C,2,74dB);10;;17.5;;L;134;132;;;4;4;2254,00;1363,67;D;C;2;74dB;;R;0;;
050267;3528700502671;4989;Michelin;POWER CL;;przemysłowe;OPONA 15.5/80-24 (400/80-24) POWER CL 162A8/20PR TL Michelin;15.5;80;24;A8;;162;20PR;400/80-24;;6;6;5737,00;2954,55;;;;;;-;74 kg;;
05124690000;0440000111861;70193;Barum;BF 200;;ciężarowe;OPONA 385/65R22.5 BF 200 160K/158L 3PMSF M+S FRONT Barum (C,B,B,73dB);385;65;22.5;K;L;160;158;;;2;2;2526,00;1566,12;C;B;B;73dB;;R;0 kg;;
05127970000;4019238084559;85776;Continental;CONTI ECO HS 5;;ciężarowe;OPONA 385/55R22.5 CONTI ECO HS 5 162K/158L 3PMSF M+S Continental (B,B,A,71dB);385;55;22.5;K;L;162;158;;;4;4;3581,00;2148,60;B;B;A;71dB;;R;0 kg;;
05128600000;4019238099546;90695;Continental;CONTI ECO HS 5;;ciężarowe;OPONA 385/65R22.5 CONTI ECO HS 5 164K 3PMSF M+S FRONT Continental (B,B,A,71dB);385;65;22.5;K;;164;;;;2;2;3482,00;2071,79;B;B;A;71dB;;R;0 kg;;
05128730000;4019238303100;89337;Continental;CONTI ECO HS 5;;ciężarowe;OPONA 315/60R22.5 CONTI ECO HS 5 154/150L 3PMSF M+S FRONT Continental (B,B,A,71dB);315;60;22.5;;L;154;150;;;2;2;3586,00;2133,67;B;B;A;71dB;;R;0 kg;;
05129240000;4019238298376;94451;Continental;CONTI ECO HS 5;;ciężarowe;OPONA 315/70R22.5 CONTI ECO HS 5 158/150L M+S FRONT Continental (B,B,A,71dB);315;70;22.5;;L;158;150;;;2;2;3346,00;2174,90;B;B;A;71dB;;R;0 kg;;
